epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,367.73,0.51822,0.37731,0.89721,0.59468,0.48432,0.45764,0.23444,1.94727,3.66389,2.00946,0.0003862,0.0003862,0.0003862
126,372.876,0.63342,0.41138,0.93733,0.51084,0.54661,0.41453,0.2005,1.94261,3.5965,1.9839,0.00038125,0.00038125,0.00038125
127,375.4,0.56042,0.39334,0.89481,0.32244,0.59841,0.40675,0.20388,1.96353,3.90735,2.0039,0.0003763,0.0003763,0.0003763
128,379.398,0.528,0.37507,0.85889,0.60847,0.32207,0.39744,0.2049,1.99468,4.21998,2.02183,0.00037135,0.00037135,0.00037135
129,381.921,0.51878,0.40189,0.88311,0.60868,0.51623,0.42194,0.21301,1.99019,4.15766,2.05489,0.0003664,0.0003664,0.0003664
130,384.416,0.53758,0.41874,0.91041,0.61534,0.50657,0.4166,0.19611,2.0126,4.07333,2.13383,0.00036145,0.00036145,0.00036145
131,386.83,0.55438,0.39465,0.91297,0.60594,0.53475,0.41529,0.20014,2.00849,4.15021,2.16639,0.0003565,0.0003565,0.0003565
132,389.31,0.56186,0.41739,0.90614,0.55997,0.57732,0.45556,0.22111,1.97241,4.08321,2.1035,0.00035155,0.00035155,0.00035155
133,391.85,0.53672,0.43244,0.87491,0.52318,0.55431,0.48994,0.24157,1.95553,3.95817,2.05952,0.0003466,0.0003466,0.0003466
134,394.264,0.53284,0.37368,0.89948,0.52479,0.49841,0.40854,0.18701,1.95253,4.1025,2.04584,0.00034165,0.00034165,0.00034165
135,396.746,0.54469,0.38172,0.87804,0.65992,0.49081,0.39316,0.17735,1.99489,4.14545,2.09175,0.0003367,0.0003367,0.0003367
136,399.226,0.50901,0.36869,0.86692,0.66235,0.49143,0.41578,0.20263,2.03673,3.74395,2.14971,0.00033175,0.00033175,0.00033175
137,401.65,0.56398,0.44328,0.93153,0.538,0.55913,0.50259,0.24677,2.06703,3.84546,2.14004,0.0003268,0.0003268,0.0003268
138,405.659,0.54695,0.38471,0.90766,0.55681,0.55133,0.5216,0.24283,2.04337,3.99211,2.1191,0.00032185,0.00032185,0.00032185
139,408.122,0.55133,0.41182,0.92874,0.50178,0.55868,0.5429,0.24488,2.06001,3.97263,2.13698,0.0003169,0.0003169,0.0003169
140,411.636,0.5443,0.38314,0.86912,0.57004,0.4996,0.48499,0.22409,2.08245,3.93431,2.17238,0.00031195,0.00031195,0.00031195
141,414.058,0.49558,0.35035,0.85948,0.42691,0.60419,0.44494,0.19639,2.05315,4.03843,2.14138,0.000307,0.000307,0.000307
142,416.471,0.51543,0.41425,0.88868,0.41734,0.54566,0.376,0.16418,2.08869,4.11233,2.12906,0.00030205,0.00030205,0.00030205
143,418.894,0.48896,0.36271,0.86044,0.56951,0.47981,0.38096,0.1668,2.10537,4.10871,2.14498,0.0002971,0.0002971,0.0002971
144,421.358,0.49285,0.3622,0.88902,0.41839,0.54286,0.42421,0.20643,2.09378,4.0007,2.1352,0.00029215,0.00029215,0.00029215
145,423.832,0.4848,0.35581,0.86386,0.28283,0.59841,0.43982,0.21664,2.08312,4.09664,2.10587,0.0002872,0.0002872,0.0002872
146,426.285,0.50709,0.39721,0.87879,0.6629,0.34839,0.45994,0.22889,2.0582,4.2349,2.0521,0.00028225,0.00028225,0.00028225
147,428.974,0.5113,0.35043,0.87864,0.64702,0.36004,0.48337,0.23807,2.05453,4.19962,2.05556,0.0002773,0.0002773,0.0002773
148,431.55,0.4764,0.35534,0.88362,0.6516,0.39361,0.50631,0.25923,2.05939,3.89419,2.10345,0.00027235,0.00027235,0.00027235
149,434.11,0.50133,0.36699,0.87901,0.56631,0.40474,0.48146,0.23649,2.01775,3.99229,2.07919,0.0002674,0.0002674,0.0002674
150,436.661,0.52031,0.39843,0.85056,0.57039,0.48198,0.49314,0.26111,2.01685,4.05419,2.09222,0.00026245,0.00026245,0.00026245
151,439.261,0.48767,0.38552,0.88247,0.68848,0.52477,0.49302,0.24867,2.07949,3.97084,2.1541,0.0002575,0.0002575,0.0002575
152,442.186,0.46962,0.33892,0.86271,0.58848,0.49325,0.52457,0.27909,2.07933,4.04675,2.12461,0.00025255,0.00025255,0.00025255
153,444.901,0.44494,0.32994,0.86376,0.70037,0.43744,0.59101,0.3045,2.12352,4.24665,2.10601,0.0002476,0.0002476,0.0002476
154,447.724,0.48397,0.34957,0.86427,0.61955,0.5106,0.56377,0.2868,2.14966,4.21601,2.10285,0.00024265,0.00024265,0.00024265
155,450.354,0.48845,0.33414,0.83897,0.62488,0.48427,0.4659,0.2212,2.13177,4.26096,2.10158,0.0002377,0.0002377,0.0002377
156,453.022,0.52035,0.38974,0.86701,0.67894,0.44274,0.44656,0.20766,2.09003,4.17785,2.10066,0.00023275,0.00023275,0.00023275
157,455.601,0.47737,0.36454,0.86651,0.6928,0.43576,0.4347,0.2056,2.08057,3.97887,2.11521,0.0002278,0.0002278,0.0002278
158,458.155,0.44761,0.33199,0.87873,0.67612,0.44123,0.45073,0.22184,2.04397,3.9436,2.08966,0.00022285,0.00022285,0.00022285
159,460.766,0.47201,0.34908,0.82927,0.55535,0.46222,0.49268,0.25878,2.06176,3.94179,2.12214,0.0002179,0.0002179,0.0002179
160,463.316,0.44199,0.33223,0.84505,0.66019,0.47495,0.42894,0.2147,2.04671,3.96395,2.09159,0.00021295,0.00021295,0.00021295
161,465.947,0.47993,0.33621,0.88458,0.32197,0.60913,0.42692,0.21678,2.00823,4.00229,2.04124,0.000208,0.000208,0.000208
162,468.541,0.41683,0.34757,0.86531,0.34565,0.60913,0.42974,0.224,2.00661,4.13617,2.01551,0.00020305,0.00020305,0.00020305
163,471.183,0.42817,0.3261,0.86005,0.33187,0.57341,0.39878,0.20723,2.01721,4.10097,2.02366,0.0001981,0.0001981,0.0001981
164,473.724,0.43993,0.32431,0.87637,0.66937,0.38042,0.41253,0.21917,2.01615,4.18192,2.05175,0.00019315,0.00019315,0.00019315
165,476.32,0.44221,0.38083,0.86071,0.66465,0.49186,0.42834,0.22696,2.00456,4.29718,2.0278,0.0001882,0.0001882,0.0001882
166,478.906,0.35975,0.37069,0.71675,0.34471,0.59841,0.43637,0.23094,1.98949,4.19792,1.9996,0.00018325,0.00018325,0.00018325
167,481.818,0.4706,0.3177,0.91841,0.71617,0.34043,0.4362,0.22867,2.00983,4.04997,2.0375,0.0001783,0.0001783,0.0001783
168,484.602,0.46627,0.49769,0.86778,0.71241,0.35114,0.4373,0.22059,2.02308,3.89412,2.05986,0.00017335,0.00017335,0.00017335
169,487.289,0.41656,0.32394,0.85565,0.35229,0.63413,0.44289,0.21935,2.02593,4.03184,2.04019,0.0001684,0.0001684,0.0001684
170,489.903,0.39789,0.33248,0.8591,0.35417,0.60913,0.40854,0.20583,2.02495,4.13422,2.03934,0.00016345,0.00016345,0.00016345
171,492.501,0.42067,0.33308,0.84222,0.36409,0.60913,0.41795,0.21021,1.99897,4.19518,2.02221,0.0001585,0.0001585,0.0001585
172,495.083,0.45095,0.33816,0.87496,0.39881,0.60913,0.42484,0.21423,2.00513,4.25556,2.0329,0.00015355,0.00015355,0.00015355
173,500.211,0.41886,0.31032,0.82609,0.40278,0.60913,0.42484,0.20872,2.05419,4.34625,2.06453,0.0001486,0.0001486,0.0001486
174,505.497,0.4108,0.31814,0.84771,0.40441,0.60913,0.43175,0.21421,2.05491,4.33709,2.06744,0.00014365,0.00014365,0.00014365
175,508.151,0.47824,0.38373,0.88375,0.41979,0.60913,0.43476,0.22223,2.0522,4.19339,2.09182,0.0001387,0.0001387,0.0001387
176,510.773,0.40526,0.33982,0.83455,0.375,0.57341,0.41315,0.20828,2.06276,4.20038,2.10978,0.00013375,0.00013375,0.00013375
177,513.345,0.42556,0.31916,0.84366,0.72447,0.35885,0.44056,0.22707,2.08066,4.28902,2.10817,0.0001288,0.0001288,0.0001288
178,515.99,0.42542,0.31964,0.85257,0.71152,0.33557,0.42534,0.21611,2.09287,4.2779,2.10671,0.00012385,0.00012385,0.00012385
179,518.544,0.43489,0.33325,0.8501,0.67483,0.35047,0.40486,0.20754,2.05816,4.27705,2.08153,0.0001189,0.0001189,0.0001189
180,521.159,0.39772,0.33562,0.863,0.71047,0.34845,0.42855,0.22258,2.02801,4.19956,2.07874,0.00011395,0.00011395,0.00011395
181,523.717,0.40971,0.33036,0.84835,0.68993,0.35262,0.43642,0.22622,2.03146,4.06925,2.08262,0.000109,0.000109,0.000109
182,526.301,0.37687,0.29533,0.83802,0.37698,0.59841,0.41286,0.20534,2.05787,4.00125,2.09448,0.00010405,0.00010405,0.00010405
183,528.876,0.40515,0.31701,0.84559,0.36312,0.60913,0.39833,0.19631,2.04721,3.96663,2.07956,9.91e-05,9.91e-05,9.91e-05
